ID,ISSUE,PROPLetter,PROPTitle,Month,Day,Year,Date,Description,PASS_FAIL,Vote_Counts_Yes,Vote_Counts_No,Percent_Vote_Yes,Percent_Vote_No,Percent_Required_To_Pass,Kind,HowPlaced,Fullimage,
1,,1,Bonds issued for acquisition of public utilities,November,5,1907,"Nov 5, 2007","Setting forth a proposal relating to bonds issued for the acquisition of public utilities, the registration thereof, and the levy of taxes to provide for the interest thereon and a sinking fund, and to bonds issued for the acquisition of land and the construction or acquisition of any permanent building or buildings, improvement or improvements.",P,23257,4637,83.3,16.7,50%+1,Charter Amendment,Supervisors,November5_1907,
2,,2,Recall of Elected Officials,November,5,1907,"Nov 5, 2007",The holder of any elective office may be removed at any time by the electors qualified to vote for a successor of each incumbent. A petition must be filed with the Board of Election Commissioners with signatures equal to 30 (percent) of registered voters and must contain a general statement of the grounds for which the removal is sought.,P,22945,5579,80.4,19.6,50%+1,Charter Amendment,Supervisors,November5_1907,
3,,3,Apportionment of Fund Revenue; Interest on Bonded Indebtedness; Sinking Funds,November,5,1907,"Nov 5, 2007",Relating to the apportionment of the income and revenue of funds and a provision for income to pay interest on the bonded indebtedness and provide for the sinking funds. The sinking funds shall always be provided for out of the tax on property.,P,21000,5809,78.3,21.7,50%+1,Charter Amendment,Supervisors,November5_1907,
4,,4,Responsibility of treasurer for public funds,November,5,1907,"Nov 5, 2007",Relating to the custody by the Treasurer of public funds and authorizing their deposit in certain banks upon certain terms and conditions.  Treasurer shall receive and safely keep all moneys which shall be paid into the Treasury.,P,22425,5285,80.9,19.1,50%+1,Charter Amendment,Supervisors,November5_1907,
5,,5,"Board of Public Works; Contracts, Bonds and Payments",November,5,1907,"Nov 5, 2007","Relating to contracts entered into by the Board of Public Works, and bonds to be given in connection with the same, permitting progressive payments to be provided upon certain terms and conditions. All contracts shall be drawn under the supervision of the City Attorney.",P,20527,7039,74.4,25.6,50%+1,Charter Amendment,Supervisors,November5_1907,
6,,6,Officers of City to be Bonded,November,5,1907,"Nov 5, 2007",Officers shall respectively execute official bonds to the City and County.,P,21970,4495,83,17,50%+1,Charter Amendment,Supervisors,November5_1907,
7,,7,Board of Supervisors' Appropriation for Urgent Necessities,November,5,1907,"Nov 5, 2007","Relating to the appropriation of $100,000 a year by the supervisors for urgent necessities not otherwise provided for by law.",P,20961,5358,79.6,20.4,50%+1,Charter amendment,Supervisors,November5_1907,
8,,8,Composition of Members of Fire Department; Salaries and Vacations,November,5,1907,"Nov 5, 2007",Relative to the composition of the personnel of the companies of the Fire Department and the salaries and vacations of the members.,P,35017,8347,80.7,19.3,50%+1,Charter Amendment,Supervisors,November5_1907,
9,,9,Taxes or Bonded Indebtedness; Acquisition of Public Utilities,November,5,1907,"Nov 5, 2007","The City shall have the power to acquire, construct or complete any public utility from funds derived from taxes levied for that purpose, or from funds derived from the sale of bonds issued for that purpose and may operate, maintain, sell or lease any public utility subject to the provisions of this Charter.",P,20861,5858,78,22,50%+1,Charter Amendment,Supervisors,November5_1907,
10,,10,Sale of City-Owned Lands; Future Land Acquisitions,November,5,1907,"Nov 5, 2007","City and County of San Francisco to have power to sell all lands owned by the City and County between Ninth street and Eighteenth street, formerly Mission Creek, and any and all future acquisitions, excepting lands for parks, squares and children's playgrounds.",P,15023,10573,58.6,41.4,50%+1,Charter Amendment,Supervisors,November5_1907,
