Ballot Measure Committee,Stance,Election,Ballot Measure,Consulting Firm,Services,Payment Received
"Committee to Save Laguna Honda Hospital, Yes on Prop A",Yes,11/02/99,A,Robert Barnes & Associates,Campaign consulting focusing on outreach; campaign management,$0.00
,,,,Whitehurst Campaigns,Co-campaign management,$0.00
,,,,Jo Kurney,Campaign fundraising ,"$8,000.00"
,,,,Whitehurst Campaigns,Filer did not describe services performed,$0.00
,,,,Whitehurst Campaigns,Co-campaign management,$0.00
,,,,Jo Kurney,Fundraising ,"$19,250.00"
,,,,Robert Barnes & Associates,Campaign consulting focusing on outreach; campaign management ,$0.00
,,,,Hsieh & Associates,Press Services and community relations,"$20,126.00"
,,,,Jim Rivaldo,"Strategic planning, ballot arguments, non-graphics involvement in campaign advertising.","$3,500.00"
,,,,Jim Rivaldo,Consulting retainer,"$1,000.00"
,,,,Hsieh & Associates,Press Services and community relations,$0.00
Police and Firefighters for Yes on B,Yes,11/02/99,B,,,
N/A,,11/02/99,C,,,
N/A,,11/02/99,D,,,
"Coalition for Muni Reform, Yes on Prop E",Yes,11/02/99,E,Solem & Associates ,General Consulting ,$0.00
,,,,Solem & Associates ,General Consulting ,"$19,331.00"
,,,,David Spero,Signature gathering services,"$3,918.00"
San Franciscans for Muni Reform ,Yes,11/02/99,E,David Spero,Signature gathering services,"$21,900.00"
"Citizens for Real Muni Reform, No on E",No,11/02/99,E,,,
Committee to End Extra ATM Fees,Yes,11/02/99,F,Timonthy Smith,Signature gathering services,"$4,926.00"
,,,,Robert Barnes & Associates,Campaign manager,"$50,000.00"
"Coalition for ATM Choice, No on F, A Committee Sponsored by the California Bankers Association",No,11/02/99,F,Robert Barnes & Associates,Campaign manager,$0.00
San Franciscans for Sunshine (aka Coalition for Lower Utility Bills),Yes,11/02/99,G,Doug Comstock,Filer did not describe services performed,"$2,500.00"
,,,,Doug Comstock,Filer did not describe services performed,$250.00
,,,,David Spero,Paid signature gathering,"$24,000.00"
,,,,David Spero,Signature gathering services,"$4,952.00"
,,,,David Spero,Signature gathering services,"$1,000.00"
No on G,No,11/02/99,G,Staton & Hughes,Campaign strategy and communications,$0.00
Better Transit Alliance Yes on Proposition H,Yes,11/02/99,H,,,
N/A,,11/02/99,I,,,
San Franciscans for Transportation Solutions,Yes,11/14/99,J,,,
Committee to Build the Boulevard-No on Prop J,No,11/02/99,J,Jim Rivaldo,Consulting and non-graphics involvement in preparation of campaign materials.,"$2,100.00"
N/A,,11/02/99,K,,,
Committee for Better Parks,Yes,03/07/00,A,,,
"San Franciscans to Fix Our Academy of Sciences, Yes on Proposition B",Yes,03/07/00,B,Robert Barnes & Associates,Filer did not describe services performed,"$5,000.00"
,,,,Hsieh & Associates,"Press/Media activities, management of phone bank services.","$14,287.00"
,,,,Jill Wynns,"Coordinate ballot arguments, endorsements, speaking engagements","$5,000.00"
,,,,Robert Barnes & Associates,Working on behalf of the campaign to pass Proposition B on the March 2000 ballot.,"$15,000.00"
California Academy of Sciences,Yes,03/07/00,B,Staton & Hughes,Campaign strategy,"$12,517.00"
,,,,Staton & Hughes,Campaign strategy,"$22,889.00"
,,,,Ellie Schafer,Manager of the campaign,"$20,000.00"
,,,,Staton & Hughes,Campaign strategy,"$19,872.00"
Committee for Better Parks,Yes,03/07/00,C,Terris & Jaye & Barnes,Campaign consultation and strategy; direct mail,$0.00
,,,,Terris & Jaye & Barnes,Campaign consultation and strategy; direct mail,"$136,125.00"
N/A,,03/07/00,D,,,
San Franciscans for Cash Assistance Reform (SF Cares) Yes on E,Yes,03/07/00,E,,,
San Franciscans for General Assistance Reform/ Yes on Prop E,Yes,03/07/00,E,Solem & Associates ,General campaign consulting,"$32,558.00"
,,,,Solem & Associates ,General campaign consulting,"$35,285.00"
San Franciscans for Sensible Social Policy,No,03/07/00,E,,,
"Committee Against Increased Homelessness, A Committee Opposing Proposition E",No,03/07/00,E,,,
N/A,,03/07/00,F,,,
,,,,"Barnes, mosher, Whitehurst & Partners",November 2000 Bond Measures,"$61,783.00"
"Committee to Save Our Branch Libraries, Yes on Prop A",Yes,11/07/00,A,"Barnes, Mosher, Whitehurst & Partners",November 2000 Bond Measures,"$15,000.00"
,,,,"Barnes, Mosher, Whitehurst & Partners",Final payment for campaign services,"$5,380.00"
,,,,"Barnes, Clarke & Associates","Manage public relations and media contact regarding upcoming ballot measure - Proposition A, Library Bond","$24,000.00"
N/A,,11/07/00,B,,,
N/A,,11/07/00,C,,,
Committee to Renew The Children's Amendment,Yes,11/07/00,D,Stephanie Ong,"Campaign Manager services: set up office, computer systems, set up meetings, liaison to committee members and steering committee, set up communication mechanism, recruit agency partners.","$5,133.00"
,,,,Stephanie Ong,"Campaign manager services - coordinate district meetings, meetings with supervisors, agency partners, etc","$9,777.00"
,,,,Stephanie Ong,"Campaign manager services - coordinate district meetings, meetings with supervisors, agency partners, etc","$9,056.00"
N/A,,11/07/00,E,,,
Advocates for a Safe Golden Gate Park; Committee for Proposition F and against Prop G,Yes,11/07/00,F,,,
Committee for an Open and Accessible Park/Yes on G/No on F,No,11/07/00,F,,,
Committee for an Open and Accessible Park/Yes on G/No on F,Yes,11/07/00,G,,,
Advocates for a Safe Golden Gate Park; Committee for Proposition F and against Prop G,No,11/07/00,G,,,
Housing for All a Committee for Proposition H,Yes,11/07/00,H,,,
Coalition to Preserve Affordable Housing/No on H and N,No,11/07/00,H,,,
N/A,,11/07/00,I,,,
N/A,,11/07/00,J,,,
San Francisco PAC (Prior name: San Franciscans for Responsible Planning/ Yes on K/No on L,Yes,11/07/00,K,,,
No on K,No,11/07/00,K ,,,
Campaign to Save San Francisco- A Committee for Proposition L,Yes,11/07/00,L,,,
San Francisco PAC (Prior name: San Franciscans for Responsible Planning/ Yes on K/No on L,No,11/07/00,L,,,
Taxpayers for a Legal Initiative/No on Proposition L,No,11/07/00,L,,,
Coalition for Better Neighborhood Taxi Services/Yes on M,Yes,11/07/00,M,"Barnes, Mosher, Whitehurst & Partners",November 2000 ballot measure campaign,"$47,080.00"
No on M/Committee against Permit Profiteering ,No,11/07/00,M,,,
Tenants for Housing Justice,Yes,11/07/00,N,,,
SF No on N Committee,No,11/07/00,N,,,
Coalition to Preserve Affordable Housing/No on H and N,No,11/07/00,N,,,
San Franciscans for Clean Elections (Yes on Proposition O sponsored by California Common Cause),Yes,11/07/00,O,,,
"No Tax Money for Political Campaigns, No on Prop O",No,11/07/00,O,,,
Yes on Proposition P Committee ,Yes,11/07/00,P,,,
"San Franciscans for Safer Streets, Yes on Q",Yes,11/07/00,Q,,,
"San Franciscans to Restore a Working Waterfront, Yes on R",Yes,11/07/00,R,,,
Committee to Support Our City College (Yes on Prop A),Yes,11/06/01,A,,,
San Franciscans for a Brighter Tomorrow,Yes,11/06/01,B,Next Generation (Doug Linney),Management/Consulting on Prop B campaign- Nov 2001 election,"$10,162.00"
N/A,,11/06/01,C,,,
Bay Vote Yes!/ Yes on D,Yes,11/06/01,D,Stearns Consulting ,Consulting ,0
,,,,Stearns Consulting ,Management and media,"$76,697.00"
N/A,,11/06/01,E,,,
Campaign for Affordable Solar & Public Power,Yes,11/06/01,F,,,
"Coalition for Affordable Public Services, No on F and I",No,11/06/01,F,Solem & Associates ,General campaign consulting,"$26,000.00"
,,,,Solem & Associates ,"General consulting services including community relations, media relations, and political campaign management","$12,500.00"
,,,,Solem & Associates ,"General consulting services including community relations, media relations, and political campaign management","$414,829.00"
,,,,Solem & Associates ,Proposed legislation regarding Municipal Utility District ,"$57,044.00"
,,,,"Barnes, Mosher, Whitehurst & Partners",Pending municipal utility district initiative ,"$22,500.00"
N/A,,11/06/01,G,,,
Campaign for Affordable Solar & Public Power,Yes,11/06/01,H,,,
Campaign for Solar Neighborhoods (Yes on Proposition H),Yes,11/06/01,H,,,
Campaign for Affordable Solar & Public Power,Yes,11/06/01,I,,,
MUD Now (Yes on Measure I),Yes,11/06/01,I,,,
"Coalition for Affordable Public Services, No on F and I",No,11/06/01,I,"Barnes, Mosher, Whitehurst & Partners",Pending municipal utility district initiative ,"$17,000.00"
No on I (Coalition to Stop the Billion Dollar Bill),No,11/06/01,I,,,
Fair Vote SF/ Committee for Prop A,Yes,03/05/02,A,,,
San Francisco for Voter Rights (No on Prop A),No,03/05/02,A,,,
No on A/Committee Against Propositio A,No,03/05/02,A,,,
N/A,,03/05/02,B,,,
N/A,,03/05/02,C,,,
Protect Our Neighborhood (A Committee for Proposition D),Yes,03/05/02,D,Stearns Consulting ,political consulting,$0.00
,,,,stearns Consulting ,political consulting,$0.00
No on D Committee,No,03/05/02,D,,,
N/A,,03/05/02,E,,,
"Citizens for Bond Accountability, Yes on Proposition F",Yes,03/05/02,F,Hsieh & Associates,"Campaign management including fundraising, endorsements, outreach and general management","$15,440.00"
San Francisco Beautiful- No New Billboards,Yes,03/05/02,G,"Barnes, Clarke & Associates",Management of campaign for ballot measure to ban new measures,0
,,,,Stearns Consulting ,political consulting,"$28,000.00"
,,,,"Barnes, Clarke & Associates",Management of campaign for ballot measure to ban new measures,"$32,000.00"
Save Hetch Hetchy Committee (Yes on A),Yes,11/05/02,A,Christopher Corocran,Fundraising ,"$3,565.00"
,,,,jennifer Webber,event staff,"$8,000.00"
,,,,James Mathias,"Campaign management, public speaking, production of written materials",$0.00
,,,,Jennifer Webber,"Campaign management, planning, and communications","$28,253.00"
,,,,Storefront Political Media,"Television production, direct mailing, and consulting services","$552,022.00"
,,,,Jennifer Webber,Not reported,"$2,500.00"
,,,,Evan & Wallack,Fundraising ,"$20,000.00"
,,,,CHristopher Corocran,Fundraising ,"$25,081.00"
,,,,Jennifer Webber,"Campaign management, planning, and communications","$3,850.00"
,,,,Greg Evans,Fundraising consulting,$0.00
Coalition for Fair Water Rates/No on A,No,11/05/02,A,Jack Davis,Campaign strategy,$0.00
,,,,Jack Davis,Campaign strategy,"$10,000.00"
No on B/ Citizens For Housing Equality,No,11/05/02,B,Jack Davis,Campaign strategy,$0.00
,,,,Jack Davis,Campaign strategy,"$20,000.00"
N/A,,11/05/02,BB,,,
Yes on C/San Francisco for a Safe Veterans Building,Yes,11/05/02,C,Storefront Political Media,producing campaign literature and television commercials,"$20,000.00"
,,,,Storefront Political Media,"Television production, direct mailing, and consulting services","$153,176.00"
San Franciscans for Affordable Clean Energy (Yes on Prop D),Yes,11/05/02,D,,,
San Franciscans against the Blank Check/No on D,No,11/05/02,D,Ross Consulting Group,Campaign strategy,$442.00
,,,,Solem & Associates ,"Community relations, media relations and campaign management ","$299,892.00"
,,,,Ronald Wong,"Outreach, planning and execution of campaign strategy","$109,000.00"
,,,,Ross Consulting Group,implemented strategic plan persuading voters to vote No on Prop D,"$67,500.00"
,,,,Solem & Associates ,"Community relations, media relations and campaign management ","$51,362.00"
N/A,,11/05/02,E,,,
N/A,,11/05/02,F,,,
N/A,,11/05/02,G,,,
Public Safety Organizations Comittee for a Better Retirement/ Committee to Support Proposition H,Yes,11/05/02,H,Storefront Political Media,"Television production, direct mailing, and consulting services","$174,618.00"
Committee to Support New Families/ Yes on I,Yes,11/05/02,I,Ross Mirkarimi,Campaign strategy,"$2,500.00"
San Franciscans for Yes on Proposition J,Yes,11/05/02,J,Cory Black,Fundraising ,$750.00
Kiss Off the Sweetheart Deal (Yes on K),Yes,11/05/02,K,,,
Committee for Free Public Notice/ No On Proposition K,No,11/05/02,K,Berg Davis Public Affairs,Campaign consulting for No on Prop K,"$5,000.00"
Committee to Save Essential Services/ A Committee for Proposition L,Yes,11/05/02,L,Stearns Consulting ,political consulting,"$306,354.00"
,,,,Stearns Consulting ,political consulting,$640.00
Don't Double City Taxes/ No on L,No,11/05/02,L,"Barnes, Mosher, Whitehurst & Partners",Direct mail pieces and fundraising,"$128,555.00"
N/A,,11/05/02,M,,,
San Franciscans for a Better Future (Yes on N & R),Yes,11/05/02,N,,,
Committee Against Increased Homelessness,No,11/05/02,N,Sueanne McNeil,field operations,"$3,000.00"
,,,,Stearns Consulting ,political consulting,"$12,225.00"
"San Franciscans for Real Solutions/ A Committee Against Proposition N- Religious, Civic and Community Leaders with Support from the Health Care Workers Union SEIU Local 250",No,11/05/02,N,Robert Henderson,Consulting on polling/phone banking and writing campaign literature,"$3,294.00"
,,,,Stearns Consulting ,political consulting,"$33,222.00"
,,,,Stearns Consulting ,political consulting,$0.00
Yes on Prop O/ Exits from Homelessness,Yes,11/05/02,O,,,
No on Prop O/ Real Solutions to Homelessness,No,11/05/02,O,"Barnes, mosher, Whitehurst & Partners",Direct mail pieces and fundraising,"$4,939.00"
N/A,,11/05/02,P,,,
N/A,,11/05/02,Q,,,
San Franciscans for a Better Future (Yes on N & R),Yes,11/05/02,R,,,
Committee To Save Rent Control ,No,11/05/02,R,,,
Yes on S,Yes,11/05/02,S,"Barnes, mosher, Whitehurst & Partners",Direct mail pieces and fundraising,$798.00
,,,,"Barnes, mosher, Whitehurst & Partners",Direct mail pieces and fundraising,$0.00
,,,,"Barnes, mosher, Whitehurst & Partners",Direct mail pieces and fundraising,$564.00
Committee To Repair Our Schools: Yes on A,Yes,11/04/03,A,"Barnes, mosher, Whitehurst & Partners","Campaign management, direct mail pieces and signs, gathering endorsements","$10,000.00"
,,,,"Barnes, mosher, Whitehurst & Partners","Campaign management, direct mail pieces and signs, gathering endorsements","$25,006.00"
,,,,"Barnes, mosher, Whitehurst & Partners",Not Listed,$0.00
,,,,Novella Smith,campaign management,"$12,000.00"
,,,,Novella Smith,"Campaign strategy and management, graphics, message designing","$10,000.00"
Equity for Public Service Employees,Yes,11/04/03,B,,,
"Clean City Committee, Yes on C, Sponsored by SF SOS",Yes,11/04/03,C,"Barnes, mosher, Whitehurst & Partners","Independent expenditure strategies including field operations, Vote by Mail drive, and fundraising","$35,000.00"
,,,,"Barnes, mosher, Whitehurst & Partners",Not Listed,$0.00
,,,,"Barnes, mosher, Whitehurst & Partners","Independent expenditure strategies including field operations, Vote by Mail drive, and fundraising","$18,408.00"
,,,,"Barnes, Mosher, Whitehurst & Partners","Independent expenditure strategies including field operations, Vote by Mail drive, and fundraising","$34,470.00"
Citizens for a Strong Local Economy ,Yes,11/04/03,D,,,
N/A,,11/04/03,E,,,
N/A,,11/04/03,F,,,
N/A,,11/04/03,G,,,
San Franciscans for Police Reform and Oversight (SFPRO),Yes,11/04/03,H,,,
San Francisco Police Officers Association Committee Against Proposition H,No,11/04/03,H,Storefront Political Media,media consulting,"$7,405.00"
,,,,Christopher Bowman,precinct map on Prop H 11/2003,$220.00
,,,,Jennifer Webber,campaign management and communications,$0.00
,,,,Storefront Political Media,production of print and electric communications,"$16,938.00"
,,,,Christopher Bowman,preparation of Prop H map,$160.00
A Whole Lot of People... Committee for Proposition I,Yes,11/04/03,I,Staton & Hughes,Campaign consulting services and miscellaneous expenses,"$6,254.00"
Committee to Protect San Francisco's Most Vulnerable ,Yes,11/04/03,J,Nancy Elena Galante,no report filed,no report filed
,,,,Barbara Meskunas,Research and editing,"$4,494.00"
,,,,"Southwest Communications Strategies, LLC",campaign management and planning services,"$6,260.00"
Yes on K- Keep San Francisco Moving- sponsored by the San Francisco Chamber of Commerce,Yes,11/04/03,K,,,
$6.75 Is Not Enough ,Yes,11/04/03,L,,,
"Committee To Stop Aggressive Panhandling, Yes on M, A coalition of merchants, doctors, hospitals, restaurants, police and firefighters, and the Committee on Jobs",Yes,11/04/03,M,"Barnes, mosher, Whitehurst & Partners","Campaign management, direct mail pieces and fundraising ","$33,007.00"
,,,,Laura Talmus,N/A,"$8,501.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",design print and mail shop mail pieces,"$75,841.00"
,,,,"Barnes, mosher, Whitehurst & Partners",Not Listed,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",design print and mail shop mail pieces,"$94,972.00"
,,,,"Barnes, mosher, Whitehurst & Partners","Campaign management, direct mail pieces and fundraising ","$37,824.00"
,,,,"Malchow Schlackman & Hoppey, Inc.","Build web site analysis, design, printing, and mail pieces","$36,000.00"
Committee Against Political Scapegoating,No,11/04/03,M,,,
Fairness for Seniors and Disabled Taxi Drivers,Yes,11/04/03,N,Larry Del Carlo,"Develop message, design literature, seek and procure endorsements, coordinate campaign strategy, present arguments to voters","$2,000.00"
,,,,Larry Del Carlo,campaign strategy consulting and preparation of flyers and other materials,"$2,000.00"
Fair Play for ALL Seniors and Disabled Cab Drivers/ Committee Against Proposition N,No,11/04/03,N,,,
N/A,,03/02/04,A,,,
N/A,,03/02/04,B,,,
N/A,,03/02/04,C,,,
N/A,,03/02/04,D,,,
Protect Our Privacy- A Committee in Support of Proposition E,Yes,03/02/04,E,,,
"Committee to Reclassify Deputy Sheriffs as Safety Employees, Yes on F, Sponsored by the San Francisco Deputy Sheriff's Association",Yes,03/02/04,F,,,
N/A,,03/02/04,G,,,
Yes on H,Yes,03/02/04,H,Staton & Hughes,General strategy and media strategy,"$7,500.00"
"Yes on I- Coalition for a Clean and Reliable MUNI, A Committee For Proposition I",Yes,03/02/04,I,Jonathon Golinger,Organize support for Prop I on 03/02/04 ballot,$0.00
,,,,"Barnes, mosher, Whitehurst & Partners","General management, direct mail and fundraising ","$1,619.00"
,,,,"Barnes, mosher, Whitehurst & Partners","General management, direct mail and fundraising ",$0.00
,,,,Stearns Consulting ,Consulting ,$934.00
"Workforce Housing Initiative, Committee for Prop J: A Coalition of Business, Labor, the San Francisco Chamber of Commerce, Environmentalists & Neighborhoods",Yes,03/02/04,J,Jennifer Webber,consulting and management services,$0.00
,,,,Storefront Political Media,"Campaign consulting and media production of direct mail, television and radio","$23,701.00"
,,,,Hsieh & Associates,Managed day to day activities for the campaign,"$26,000.00"
,,,,Jennifer Webber,consulting and management services,"$8,000.00"
"Prop J Doesn't Work- A Committee of the Residential Builders of San Francisco Independent Expenditure Fund and PAC Committee, Unions and Neighborhood Organizations",No,03/02/04,J,,,
No on Workforce Housing: A Committee Opposed to Proposition J,No,03/02/04,J,,,
N/A,,,Regional Measure 2 Traffic Relief Plan,,,
Home for the City/Committee for Proposititon A,Yes,11/02/04,A,Jonathon Golinger,Political & media consulting,$0.00
,,,,"Laura Talmus Associates, Inc",Fundraising ,"$15,000.00"
,,,,Jonathon Golinger,Political & media consulting,"$10,188.00"
N/A,,11/02/04,AA,,,
"Restore Neighborhood Landmarks, A Committee for Proposition B",Yes,11/02/04,B,,,
Yes on Proposition C,Yes,11/02/04,C,,,
N/A,,11/02/04,D,,,
Yes on E: SF Firefighters Local 798's and SF Police Officers' Association Committee to Support Survivor Benefits,Yes,11/02/04,E,,,
"Yes on Citizenship, No on F",Yes,11/02/04,F,Duane Baughman,"consulting, design, printing","$24,778.00"
"Citizen is Voting, No on F, Sponsored by SF SOS",No,11/02/04,F,,,
Music Concourse Committee Partnership,Yes,11/02/04,G,Staton & Hughes,Campaign strategy in favor of Prop G,"$1,000.00"
,,,,Staton & Hughes,Campaign strategy in favor of Prop G,"$1,000.00"
N/A,,11/02/04,H,,,
"Yes on I, More for San Franciscans sponsored by a Coalition of Committee on Jobs, Golden Gate Rest. Assoc., Labor Unions, Job Training Organizations, and San Francisc. Who want to protect our econ",Yes,11/02/04,I,"Barnes, mosher, Whitehurst & Partners","Campaign management, direct mail pieces and fundraising ","$31,456.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,"$1,183.00"
,,,,"MAlchow Schlackman & Hoppey, Inc.",Online ad campaign,"$9,346.00"
,,,,MSHC Partners Inc,Online ad campaign,$0.00
,,,,MSHC Partners Inc,Online ad campaign,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,$0.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,$0.00
,,,,"MAlchow Schlackman & Hoppey, Inc.",Online ad campaign,"$147,780.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,"$37,096.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,$0.00
,,,,MSHC Partners Inc,Online ad campaign,$25.00
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,"$8,405.00"
,,,,"Malchow Schlackman & Hoppey, Inc.",Online ad campaign,"$1,450.00"
,,,,"Barnes, mosher, Whitehurst & Partners",campaign management,$0.00
"Save The Services Committee: Yes on Propositions J,K & O, a coalition of labor, businesses and San Franciscans",Yes,11/02/04,J,Brandon Hernandez,general campaign management,Not given
,,,,Storefront Political Media,Campaign consulting and media production,"$60,359.00"
"San Franciscans for Maintaining our Quality of Life, Yes on J & O, sponsored by the Committee on JOBS Government Reform Fund",Yes,11/02/04,J,,,
"Save The Services Committee: Yes on Propositions J,K & O, a coalition of labor, businesses and San Franciscans",Yes,11/02/04,K,"Barnes, mosher, Whitehurst & Partners",Create and produce TV ads for the campaign,"$35,126.00"
,,,,Staton & Hughes,media coordination,"$1,000.00"
No On Proposition K The coalition to Stop the Big Business Tax Break,No,11/02/04,K,James Ross,"Media strategy, buying, production and messaging","$27,375.00"
Asian Americans for Prop L,Yes,11/02/04,L,,,
Committee To Save The Theaters,Yes,11/02/04,L,,,
Committee Against Proposition L,No,11/02/04,L,,,
"San Franciscans for Quality Housing, a business labor coalition including trinity properties to enact fair demolition ordinances that allow for revitalization of Market Street",Yes,11/02/04,M,Jack Davis,Campaign strategy,"$50,000.00"
,,,,Jack Davis,Campaign strategy,"$75,000.00"
Bring Our Troops Home Now,Yes,11/02/04,N,,,
"Save The Services Committee: Yes on Propositions J,K & O, a coalition of labor, businesses and San Franciscans",Yes,11/02/04,O,,,
Committee To Support Our City College- YES ON A,Yes,11/08/05,A,"Barnes, mosher, Whitehurst & Partners",campaign management,$0.00
,,,,"Barnes, mosher, Whitehurst & Partners",campaign management,$0.00
Committee for Better Streets in Support of Prop B,Yes,11/08/05,B,,,
"San Franciscans for Equitable Taxation, No on B, A Coalition of Taxpayers, Homeowners, Seniors and Property Owners",No,11/08/05,B,,,
SFCOG- San Franciscans for Clean and Open Government ,Yes,11/08/05,C,,,
"Committee for Muni Reform, Yes on Proposition D",Yes,11/08/05,D,,,
Coalition to Save MUNI Reform/COmmittee Against Proposition D,No,11/08/05,D,"Barnes, mosher, Whitehurst & Partners",campaign management,"$5,781.00"
N/A,,,E,,,
"Yes on F: San Franciscans to Protect Neighborhood Firehouses, Sponsored by: International Association of Firefighers Local 798 San Francisco",Yes,11/08/05,F,Storefront Political Media,Campaign consulting and media production,$0.00
,,,,Storefront Political Media,Campaign consulting and media production,"$38,163.00"
,,,,Daniel Dunnigham ,General strategic consulting ,"$7,800.00"
,,,,Storefront Political Media,Campaign consulting and media production,"$1,446.00"
Yes on G,Yes,11/08/05,G,,,
Committee to Ban Handgun Violence,Yes,11/08/05,H,,,
Coalition Against Prohibition No On H,No,11/08/05,H,,,
Committee oppose to the handgun ban measure,No,11/08/05,H,,,
Committee for Proposition I,Yes,11/08/05,I,"Barnes, mosher, Whitehurst & Partners","General management, direct mail and fundraising ","$1,619.00"
,,,,"Barnes, mosher, Whitehurst & Partners","General management, direct mail and fundraising ",$0.00
Stop Homicides Now- A Committee for Proposition A,Yes,06/06/06,A,,,
Committee for Eviction Disclosure ,Yes,06/06/06,B,,,
"Citizens for Effective Disclosure, No on B, A Coalition of Small Businesses, Homeowners, Tenants, and the San Francisco Association of Realtors",No,06/06/06,B,,,
"Stop the Power Grab, Save Transbay, No on C",No,06/06/06,C,"Barnes, mosher, Whitehurst & Partners",campaign management,"$4,614.00"
,,,,Barnes Mosher,campaign management,$0.00
"San Franciscans for Laguna Honda, Yes on D",Yes,06/06/06,D,,,
